Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_solved_,_time_,_unkn_,Time_shmean(1.0),PInt_avg,Time_shmean(1.0)Q,PInt_avgQ
alns_e,0.0,87,0.0,0.0,6.0,81.0,6.0,0.0,314.01021049329256,21610.159144453708,0.9540772359331503,0.7631804616157157
alns_g,0.0,87,0.0,0.0,7.0,80.0,7.0,0.0,321.0219136891583,23195.385905923522,0.9753813406429496,0.8191640424629035
alns_u,0.0,87,0.0,0.0,6.0,81.0,6.0,0.0,323.5769854989283,21097.422792474586,0.9831445781696737,0.7450727575874918
no-alns,0.0,87,0.0,0.0,7.0,80.0,7.0,0.0,329.1245180859702,28315.922945279843,1.0,1.0
