Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_solved_,_time_,_unkn_,Time_shmean(1.0),PInt_avg,Time_shmean(1.0)Q,PInt_avgQ
alns_e,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,35.05094258987566,12888.249020698804,1.001947255886702,1.0023434846275288
alns_g,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,35.493828119316916,12876.26879653241,1.0146073416963135,1.001411759951952
alns_u,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,35.29014762564838,12870.495540847838,1.0087850414490218,1.0009627629461348
no-alns,0.0,293,0.0,0.0,0.0,293.0,0.0,0.0,34.982822083639846,12858.116222991246,1.0,1.0
