Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_solved_,_time_,_unkn_,Time_shmean(1.0),PInt_avg,Time_shmean(1.0)Q,PInt_avgQ
alns_e,0.0,665,0.0,1.0,264.0,400.0,263.0,0.0,358.60744501184746,77204.62197965092,0.981084900231514,0.9789039246457999
alns_g,0.0,665,0.0,0.0,267.0,398.0,266.0,0.0,360.9016176094309,78001.49016422736,0.9873613401808844,0.9890076901109407
alns_u,0.0,665,0.0,0.0,265.0,400.0,264.0,0.0,360.1692159933176,76516.88341777226,0.9853576222534717,0.9701838511567965
no-alns,0.0,665,0.0,0.0,266.0,399.0,265.0,0.0,365.521317194082,78868.43645824194,1.0,1.0
