ProblemName,Time_alns_e,Time_alns_g,Time_alns_u,Time_no-alns,PInt_alns_e,PInt_alns_g,PInt_alns_u,PInt_no-alns,Status_alns_e,Status_alns_g,Status_alns_u,Status_no-alns,LP_Iterations_dualLP_alns_e,LP_Iterations_dualLP_alns_g,LP_Iterations_dualLP_alns_u,LP_Iterations_dualLP_no-alns,TimeQ+10_alns_e,TimeQ+10_alns_g,TimeQ+10_alns_u,TimeQ+10_no-alns,PIntQ+1000_alns_e,PIntQ+1000_alns_g,PIntQ+1000_alns_u,PIntQ+1000_no-alns
30n20b8,256.29,254.62,253.65,253.66,15902.403753558281,15769.070420224947,15735.737086891613,15814.45920865171,ok,ok,ok,ok,470870.0,470870.0,470870.0,470870.0,1.0099749677615113,1.003641052871122,0.9999620723659258,1.0,1.0052302927983152,0.997300609679828,0.9953181889002062,1.0
acc-tight5,118.09,116.86,116.37,116.42,11800.0,11700.0,11600.0,11600.0,ok,ok,ok,ok,410364.0,410364.0,410364.0,410364.0,1.0132099351368455,1.0034804619522226,0.9996044929599747,1.0,1.0158730158730158,1.007936507936508,1.0,1.0
aflow40b,899.96,898.45,900.05,893.87,3867.836482047637,3861.348902478234,3879.4731922921774,3725.4992414332532,ok,ok,ok,ok,1574298.0,1574298.0,1574298.0,1574298.0,1.0067376945799729,1.0050671003573524,1.006837266421056,1.0,1.03012110114554,1.0287482134911479,1.0325836367740528,1.0
air04,26.75,26.7,26.45,26.63,261.94513670723074,251.9720687691372,221.94976527851836,251.50640168568262,ok,ok,ok,ok,23277.0,23277.0,23277.0,23277.0,1.0032760032760033,1.001911001911002,0.9950859950859953,1.0,1.0083409361769846,1.0003720852588747,0.976383152041928,1.0
app1-2,5325.7,7200.0,4414.77,7200.0,177568.2926829268,309051.4634146341,135960.97560975607,720001.0,ok,timelimit,ok,timelimit,1628421.0,1995629.0,1236019.0,2021318.0,0.7400416088765603,1.0,0.6136990291262137,1.0,0.24766719142265659,0.43002917251797723,0.18995948079095046,1.0
ash608gpia-3col,60.86,60.64,60.74,60.97,6086.0,6064.0,6074.0,6097.0,ok,ok,ok,ok,14580.0,14580.0,14580.0,14580.0,0.9984500493166126,0.995350147949838,0.9967591940256448,1.0,0.9984500493166126,0.995350147949838,0.9967591940256446,1.0
bab5,677.25,1115.79,871.34,2818.94,2746.375755722883,2737.0817104956755,2707.2368996032424,2895.612975584667,ok,ok,ok,ok,429837.0,825547.0,635894.0,2147847.0,0.24293551648320572,0.39795471095180524,0.3115442533245668,1.0,0.9616909531832057,0.959305180960591,0.9516440475062459,1.0
beasleyC3,98.84,107.98,76.12,71.79,532.3632774429309,514.7775774975743,503.56555301140247,556.3835474562327,ok,ok,ok,ok,156801.0,176451.0,111695.0,108265.0,1.3307250275094755,1.442474630150385,1.0529404572686147,1.0,0.9845666127397962,0.9732675341970433,0.9660636386633896,1.0
biella1,721.73,234.03,722.47,708.99,2495.2466281875013,1995.2869841179938,2520.929094231272,2418.4799528423787,ok,ok,ok,ok,1324809.0,355486.0,1324809.0,1324809.0,1.0177193006856842,0.3394066676866159,1.0187485222325763,1.0,1.0224563772214879,0.8762043438714593,1.0299692093568398,1.0
bienst2,342.3,343.33,341.52,342.69,471.14306852704567,499.85337679879353,466.87253034532023,474.05506878912576,ok,ok,ok,ok,4652252.0,4652252.0,4652252.0,4652252.0,0.9988942130482861,1.0018146247412743,0.996682639144858,1.0,0.9980244969650475,1.0175015903787503,0.9951273608456802,1.0
binkar10_1,6.33,49.6,48.38,49.03,48.76516607034804,51.9470613302106,33.27867614404779,36.59770127501732,ok,ok,ok,ok,6767.0,77045.0,77045.0,77045.0,0.27663899712010837,1.0096561070642047,0.9889886498390649,1.0,1.0117378851799157,1.014807441726249,0.996798155034603,1.0
bley_xl1,176.6,177.68,176.49,177.14,16732.868852459018,16832.868852459018,16727.868852459018,16795.16393442623,ok,ok,ok,ok,17987.0,17987.0,17987.0,17987.0,0.9971144597627445,1.0028855402372556,0.9965266645292296,1.0,0.9964993251988706,1.0021188294848942,0.9962183499845695,1.0
bnatt350,1092.91,1094.76,1093.64,1105.6,109300.0,109500.0,109400.0,110600.0,ok,ok,ok,ok,3781218.0,3781218.0,3781218.0,3781218.0,0.9886249551810686,0.9902832556471854,0.9892793115812121,1.0,0.9883512544802867,0.9901433691756273,0.989247311827957,1.0
core2536-691,58.52,57.74,49.27,108.43,272.9714176476993,272.9898707016642,249.0570071978771,357.21735565589734,ok,ok,ok,ok,59130.0,59130.0,42368.0,66914.0,0.5785696191843284,0.5719834501393228,0.5004644093557375,1.0,0.9379274530662889,0.9379410493070737,0.9203072757600053,1.0
cov1075,134.58,135.0,134.58,134.64,166.39845661584792,166.79371353284395,166.39845661584792,165.96555618294747,ok,ok,ok,ok,910767.0,910767.0,910767.0,910767.0,0.9995851769911506,1.0024889380530975,0.9995851769911506,1.0,1.000371280635697,1.0007102759987248,1.000371280635697,1.0
csched010,2566.71,2568.67,2569.12,2566.79,4818.876841651969,4832.240085405726,4829.157586251672,4817.1164865077635,ok,ok,ok,ok,23385760.0,23385760.0,23385760.0,23385760.0,0.99996895362059,1.000729589916136,1.0009042258003173,1.0,1.000302616450657,1.0025998446022253,1.0020699430330882,1.0
danoint,5845.53,5846.66,5840.62,5956.88,584.3766902675674,758.5586315716426,585.462847678858,598.4557042244147,ok,ok,ok,ok,68449991.0,70301362.0,68449991.0,68449991.0,0.9813386560480518,0.98152803475183,0.9805157804413697,1.0,0.9911921150397606,1.1001610034761091,0.9918716192690114,1.0
dfn-gwin-UUM,76.14,67.57,68.11,87.73,156.2775305663808,166.399109246802,166.14841121243262,169.2616165262088,ok,ok,ok,ok,537462.0,463153.0,463153.0,623077.0,0.8814079607080733,0.7937173846311265,0.7992428118285071,1.0,0.9888954826051651,0.997551867572707,0.9973374604367623,1.0
