ProblemName,Time_alns_e,Time_alns_g,Time_alns_u,Time_no-alns,PInt_alns_e,PInt_alns_g,PInt_alns_u,PInt_no-alns,Status_alns_e,Status_alns_g,Status_alns_u,Status_no-alns,LP_Iterations_dualLP_alns_e,LP_Iterations_dualLP_alns_g,LP_Iterations_dualLP_alns_u,LP_Iterations_dualLP_no-alns,TimeQ+10_alns_e,TimeQ+10_alns_g,TimeQ+10_alns_u,TimeQ+10_no-alns,PIntQ+1000_alns_e,PIntQ+1000_alns_g,PIntQ+1000_alns_u,PIntQ+1000_no-alns,groupTags_alns_e,groupTags_alns_g,groupTags_alns_u,groupTags_no-alns
app1-2,5325.7,7200.0,4414.77,7200.0,177568.2926829268,309051.4634146341,135960.97560975607,720001.0,ok,timelimit,ok,timelimit,1628421.0,1995629.0,1236019.0,2021318.0,0.7400416088765603,1.0,0.6136990291262137,1.0,0.24766719142265659,0.43002917251797723,0.18995948079095046,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
arki001,7200.0,7200.0,6777.29,7200.0,391.6419907449439,433.80197208818197,415.7071895423014,431.3107527068378,timelimit,timelimit,ok,timelimit,25993709.0,23083821.0,26113239.0,25467048.0,1.0,1.0,0.9413717059639389,1.0,0.9722850108637319,1.0017405160805457,0.9890984098770812,1.0,All;Diff;;,All;Diff;;,All;Diff;;,All;Diff;;
ash608gpia-3col,60.86,60.64,60.74,60.97,6086.0,6064.0,6074.0,6097.0,ok,ok,ok,ok,14580.0,14580.0,14580.0,14580.0,0.9984500493166126,0.995350147949838,0.9967591940256448,1.0,0.9984500493166126,0.995350147949838,0.9967591940256446,1.0,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010
atlanta-ip,7200.0,7200.0,7200.0,7200.0,46308.255202326,42982.48849933045,51594.94272366322,65872.31516145579,timelimit,timelimit,timelimit,timelimit,4417424.0,4406799.0,4192013.0,4514547.0,1.0,1.0,1.0,1.0,0.7074415636441698,0.6577084761181008,0.7864980088797369,1.0,All;;;,All;;;,All;;;,All;;;
atm20-100,7200.0,7200.0,7200.0,7200.0,720000.0,720000.0,720000.0,720000.0,timelimit,timelimit,timelimit,timelimit,26562175.0,26566960.0,26537808.0,26594247.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,All;;;,All;;;,All;;;,All;;;
b2c1s1,7200.0,7200.0,7200.0,7200.0,17791.755372417883,10847.166895548224,9486.777200973058,24912.394288175303,timelimit,timelimit,timelimit,timelimit,23467955.0,21734757.0,20108164.0,20299034.0,1.0,1.0,1.0,1.0,0.7252033588032115,0.45720078059149033,0.40470120531310866,1.0,All;;;,All;;;,All;;;,All;;;
bab1,7200.0,7200.0,7200.0,7200.0,1650.367813894826,4325.724587837765,1589.6136028155602,3237.7140371474943,timelimit,timelimit,timelimit,timelimit,4780080.0,4930092.0,5400517.0,5030497.0,1.0,1.0,1.0,1.0,0.6254239409884419,1.2567446838443674,0.6110873881803243,1.0,All;;;,All;;;,All;;;,All;;;
bab3,7200.0,7200.0,7200.0,7200.0,720271.0,720545.0,720122.0,720325.0,timelimit,timelimit,timelimit,timelimit,210345.0,210345.0,210345.0,210345.0,1.0,1.0,1.0,1.0,0.9999251377673032,1.0003049942813573,0.9997185734585659,1.0,All;;;,All;;;,All;;;,All;;;
bab5,677.25,1115.79,871.34,2818.94,2746.375755722883,2737.0817104956755,2707.2368996032424,2895.612975584667,ok,ok,ok,ok,429837.0,825547.0,635894.0,2147847.0,0.24293551648320572,0.39795471095180524,0.3115442533245668,1.0,0.9616909531832057,0.959305180960591,0.9516440475062459,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
bc,1146.47,1144.77,1150.95,1142.9,15355.652173913046,15301.44927536232,15684.927536231886,15302.318840579712,ok,ok,ok,ok,453883.0,453883.0,453883.0,453883.0,1.003096539162113,1.001621996703964,1.0069823922282939,1.0,1.0032715182333802,0.9999466600288035,1.023469587326423,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
bc1,254.03,251.42,253.9,247.09,6265.45803389565,6195.444981505342,6305.716264927168,6164.5102411618445,ok,ok,ok,ok,86952.0,86952.0,86952.0,86952.0,1.0269944377455364,1.0168423509276905,1.026488778248862,1.0,1.014089978147262,1.0043177746003864,1.0197090965065638,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
beasleyC3,98.84,107.98,76.12,71.79,532.3632774429309,514.7775774975743,503.56555301140247,556.3835474562327,ok,ok,ok,ok,156801.0,176451.0,111695.0,108265.0,1.3307250275094755,1.442474630150385,1.0529404572686147,1.0,0.9845666127397962,0.9732675341970433,0.9660636386633896,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
bell3a,7.97,8.2,8.31,8.16,1.4516803124775601e-05,1.493573219863989e-05,1.5136089581792378e-05,0.1282896787989721,ok,ok,ok,ok,23063.0,23063.0,23063.0,23063.0,0.9895374449339206,1.002202643171806,1.0082599118942732,1.0,0.9998717412922726,0.9998717417111479,0.9998717419114795,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
bell5,0.79,1.18,1.05,0.74,10.000003782284464,10.106443518465582,10.106442805861262,0.11967013149331865,ok,ok,ok,ok,1490.0,1490.0,1490.0,1490.0,1.004655493482309,1.0409683426443201,1.0288640595903167,1.0,1.0098791514114427,1.0099855784114906,1.0099855776989717,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
berlin_5_8_0,7200.0,7200.0,7200.0,7200.0,1222.92352823761,1408.4036863502113,1231.8819782842954,1231.8791974618214,timelimit,timelimit,timelimit,timelimit,45487192.0,43011460.0,45620518.0,45000084.0,1.0,1.0,1.0,1.0,0.995987386219471,1.0790923133694423,1.00000124595564,1.0,All;;;,All;;;,All;;;,All;;;
bg512142,7200.0,7200.0,7200.0,7200.0,36444.22172074673,33845.578224305034,38919.33644052961,37986.208776919426,timelimit,timelimit,timelimit,timelimit,37988177.0,39362734.0,40362826.0,36682291.0,1.0,1.0,1.0,1.0,0.9604478838915577,0.8937924285916787,1.0239348142044171,1.0,All;;;,All;;;,All;;;,All;;;
biella1,721.73,234.03,722.47,708.99,2495.2466281875013,1995.2869841179938,2520.929094231272,2418.4799528423787,ok,ok,ok,ok,1324809.0,355486.0,1324809.0,1324809.0,1.0177193006856842,0.3394066676866159,1.0187485222325763,1.0,1.0224563772214879,0.8762043438714593,1.0299692093568398,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
bienst1,35.47,35.95,35.71,35.17,150.66063890485012,178.8236018678131,169.89113132909256,149.02146605712602,ok,ok,ok,ok,585111.0,585111.0,585111.0,585111.0,1.0066415762674341,1.0172680982953288,1.0119548372813814,1.0,1.0014265815706203,1.0259369704492582,1.0181629898905031,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
bienst2,342.3,343.33,341.52,342.69,471.14306852704567,499.85337679879353,466.87253034532023,474.05506878912576,ok,ok,ok,ok,4652252.0,4652252.0,4652252.0,4652252.0,0.9988942130482861,1.0018146247412743,0.996682639144858,1.0,0.9980244969650475,1.0175015903787503,0.9951273608456802,1.0,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010
binkar10_1,6.33,49.6,48.38,49.03,48.76516607034804,51.9470613302106,33.27867614404779,36.59770127501732,ok,ok,ok,ok,6767.0,77045.0,77045.0,77045.0,0.27663899712010837,1.0096561070642047,0.9889886498390649,1.0,1.0117378851799157,1.014807441726249,0.996798155034603,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
blend2,2.04,2.37,2.27,4.57,18.762155752725654,29.375345558474056,30.364218531519384,217.01004320526133,ok,ok,ok,ok,4581.0,4581.0,4524.0,17414.0,0.8263555250514756,0.8490048043925875,0.8421413864104323,1.0,0.837102504979822,0.8458232134612378,0.8466357564460442,1.0,All;Diff;;,All;Diff;;,All;Diff;;,All;Diff;;
bley_xl1,176.6,177.68,176.49,177.14,16732.868852459018,16832.868852459018,16727.868852459018,16795.16393442623,ok,ok,ok,ok,17987.0,17987.0,17987.0,17987.0,0.9971144597627445,1.0028855402372556,0.9965266645292296,1.0,0.9964993251988706,1.0021188294848942,0.9962183499845695,1.0,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010
blp-ar98,7200.0,7200.0,7200.0,7200.0,720000.0,720002.0,720000.0,720001.0,timelimit,timelimit,timelimit,timelimit,9237884.0,9121372.0,9255244.0,9270782.0,1.0,1.0,1.0,1.0,0.9999986130393717,1.0000013869606283,0.9999986130393717,1.0,All;;;,All;;;,All;;;,All;;;
blp-ic97,7200.0,7200.0,7200.0,7200.0,3661.0251904365546,4612.850204140735,4615.954586067817,4602.245170243402,timelimit,timelimit,timelimit,timelimit,23439573.0,22828778.0,22902515.0,22862310.0,1.0,1.0,1.0,1.0,0.8319923617755639,1.0018929971065282,1.0024471288577719,1.0,All;;;,All;;;,All;;;,All;;;
bnatt350,1092.91,1094.76,1093.64,1105.6,109300.0,109500.0,109400.0,110600.0,ok,ok,ok,ok,3781218.0,3781218.0,3781218.0,3781218.0,0.9886249551810686,0.9902832556471854,0.9892793115812121,1.0,0.9883512544802867,0.9901433691756273,0.989247311827957,1.0,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010
bnatt400,1301.5,1300.09,1295.86,1307.2,101100.0,101000.0,100700.0,101400.0,ok,ok,ok,ok,3686780.0,3686780.0,3686780.0,3686780.0,0.9956726389310658,0.994602186456119,0.9913908290312784,1.0,0.9970703125,0.99609375,0.9931640625,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
buildingenergy,7200.0,7200.0,7200.0,7200.0,17865.079804333946,17894.44674729176,17868.390589537616,17887.251046911424,timelimit,timelimit,timelimit,timelimit,339276.0,339670.0,350578.0,339276.0,1.0,1.0,1.0,1.0,0.9988261265484103,1.0003809818783296,0.9990014186115829,1.0,All;;;,All;;;,All;;;,All;;;
cap6000,4.6,4.9,5.41,4.57,29.467397303637913,59.46739730363791,66.06908688463666,29.467111749845085,ok,ok,ok,ok,4223.0,4223.0,5257.0,4223.0,1.0020590253946464,1.022649279341112,1.0576527110501028,1.0,1.0000002773801995,1.0291415677211868,1.0355542928152186,1.0,All;Diff;;,All;Diff;;,All;Diff;;,All;Diff;;
circ10-3,7200.0,7200.0,7200.0,7200.0,720002.0,720001.0,720001.0,720001.0,timelimit,timelimit,timelimit,timelimit,1528026.0,1528922.0,1528026.0,1528026.0,1.0,1.0,1.0,1.0,1.0000013869606283,1.0,1.0,1.0,All;;;,All;;;,All;;;,All;;;
co-100,7200.0,7200.0,7200.0,7200.0,55007.68868457969,54275.404366780305,54391.013763381234,54225.5555744505,timelimit,timelimit,timelimit,timelimit,1293889.0,1294521.0,1293857.0,1298742.0,1.0,1.0,1.0,1.0,1.0141625213543535,1.0009026399428902,1.0029960439005032,1.0,All;;;,All;;;,All;;;,All;;;
core2536-691,58.52,57.74,49.27,108.43,272.9714176476993,272.9898707016642,249.0570071978771,357.21735565589734,ok,ok,ok,ok,59130.0,59130.0,42368.0,66914.0,0.5785696191843284,0.5719834501393228,0.5004644093557375,1.0,0.9379274530662889,0.9379410493070737,0.9203072757600053,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
core4872-1529,7200.0,7200.0,7200.0,7200.0,18329.55191380541,18892.785463242737,19309.367322966475,19981.26031951604,timelimit,timelimit,timelimit,timelimit,5872617.0,6165864.0,6310509.0,5965311.0,1.0,1.0,1.0,1.0,0.9212769690401168,0.9481215694530589,0.9679765187449395,1.0,All;;;,All;;;,All;;;,All;;;
cov1075,134.58,135.0,134.58,134.64,166.39845661584792,166.79371353284395,166.39845661584792,165.96555618294747,ok,ok,ok,ok,910767.0,910767.0,910767.0,910767.0,0.9995851769911506,1.0024889380530975,0.9995851769911506,1.0,1.000371280635697,1.0007102759987248,1.000371280635697,1.0,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010
csched007,2802.31,2748.7,2748.24,2739.8,5341.229357187797,5238.900415564046,5243.409141412028,5204.218084258448,ok,ok,ok,ok,25497397.0,25497397.0,25497397.0,25497397.0,1.0227325623681722,1.0032365990253835,1.0030693141319367,1.0,1.0220835681577634,1.0055901212424487,1.0063168406753813,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
csched008,445.88,445.77,446.42,445.86,1454.4614471924951,1464.3875408171634,1454.9703027251164,1424.4010130191186,ok,ok,ok,ok,6288830.0,6288830.0,6288830.0,6288830.0,1.00004387311894,0.9998025709647698,1.0012284473303208,1.0,1.0123991179726253,1.016493363755961,1.0126090071493286,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
csched010,2566.71,2568.67,2569.12,2566.79,4818.876841651969,4832.240085405726,4829.157586251672,4817.1164865077635,ok,ok,ok,ok,23385760.0,23385760.0,23385760.0,23385760.0,0.99996895362059,1.000729589916136,1.0009042258003173,1.0,1.000302616450657,1.0025998446022253,1.0020699430330882,1.0,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010
d10200,7200.0,7200.0,7200.0,7200.0,750.1603748113066,750.7799632075494,750.5802644724486,750.8338195107393,timelimit,timelimit,timelimit,timelimit,20578148.0,20510723.0,20531201.0,20523124.0,1.0,1.0,1.0,1.0,0.9996153577273136,0.9999692396259485,0.9998551804086343,1.0,All;;;,All;;;,All;;;,All;;;
d20200,7200.0,7200.0,7200.0,7200.0,1127.0948559825326,1120.5444539376954,1124.2405661114124,1120.5444539376954,timelimit,timelimit,timelimit,timelimit,22440651.0,22387069.0,22343471.0,22546574.0,1.0,1.0,1.0,1.0,1.0030890189699508,1.0,1.0017430015045683,1.0,All;;;,All;;;,All;;;,All;;;
dano3_3,69.4,69.04,53.97,67.92,534.9642397899402,534.9642397899402,576.868971368073,534.590635926926,ok,ok,ok,ok,45042.0,45042.0,34667.0,136290.0,1.018993839835729,1.0143737166324436,0.8209702258726899,1.0,1.0002434550649975,1.0002434550649975,1.027550236819743,1.0,All;Diff;;,All;Diff;;,All;Diff;;,All;Diff;;
dano3_4,81.98,82.36,61.89,36.74,457.1017190170934,477.1211145590621,437.265770033953,477.26577003395295,ok,ok,ok,ok,60666.0,60666.0,60666.0,60666.0,1.9679075738125802,1.9760376551133931,1.5380830124090714,1.0,0.9863504242595452,0.9999020789096822,0.972922949403288,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
dano3_5,158.41,183.36,165.62,158.91,375.83048069792795,376.2573775654858,399.2480006094478,396.0606260802268,ok,ok,ok,ok,108063.0,166411.0,116892.0,108063.0,0.9970398437037475,1.1447516428867446,1.0397252974957079,1.0,0.9855091211625243,0.9858149079310806,1.0022831204244835,1.0,All;Diff;;,All;Diff;;,All;Diff;;,All;Diff;;
dano3mip,7200.0,7200.0,7200.0,7200.0,27770.93867985172,27771.70888118489,27675.27321172989,27754.32809702304,timelimit,timelimit,timelimit,timelimit,8880897.0,8873785.0,8899131.0,8936318.0,1.0,1.0,1.0,1.0,1.0005776724384805,1.000604458017701,0.9972506787490772,1.0,All;;;,All;;;,All;;;,All;;;
danoint,5845.53,5846.66,5840.62,5956.88,584.3766902675674,758.5586315716426,585.462847678858,598.4557042244147,ok,ok,ok,ok,68449991.0,70301362.0,68449991.0,68449991.0,0.9813386560480518,0.98152803475183,0.9805157804413697,1.0,0.9911921150397606,1.1001610034761091,0.9918716192690114,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
datt256,7199.73,7199.9,7199.52,7200.0,719973.0,719990.0,719952.0,720043.0,timelimit,timelimit,timelimit,timelimit,607403.0,607870.0,608371.0,606348.0,0.9999625520110956,0.9999861303744798,0.9999334257975036,1.0,0.9999029184112459,0.9999264953685147,0.9998737939346197,1.0,All;;;,All;;;,All;;;,All;;;
dc1c,7200.0,7200.0,7200.0,7200.0,11540.813088846084,27174.165561982347,10906.215085687438,11459.415838699671,timelimit,timelimit,timelimit,timelimit,13089109.0,11944853.0,13494127.0,13124953.0,1.0,1.0,1.0,1.0,1.0065329908881915,2.2612750009090914,0.9555997841171686,1.0,All;;;,All;;;,All;;;,All;;;
dc1l,7200.0,7200.0,7200.0,7200.0,43511.67148838125,45519.563590309466,43427.910892708576,43058.6532857155,timelimit,timelimit,timelimit,timelimit,2497042.0,2147232.0,2454484.0,2530737.0,1.0,1.0,1.0,1.0,1.010282161820244,1.0558553228723364,1.0083810461613176,1.0,All;;;,All;;;,All;;;,All;;;
dcmulti,2.61,2.59,2.13,2.28,14.738231182641348,14.720628248176528,13.811580916267369,14.051772461398992,ok,ok,ok,ok,2543.0,2543.0,2533.0,2757.0,1.026872964169381,1.0252442996742672,0.987785016286645,1.0,1.000676946424122,1.0006595874145106,0.9997631368026225,1.0,All;Diff;;,All;Diff;;,All;Diff;;,All;Diff;;
dfn-gwin-UUM,76.14,67.57,68.11,87.73,156.2775305663808,166.399109246802,166.14841121243262,169.2616165262088,ok,ok,ok,ok,537462.0,463153.0,463153.0,623077.0,0.8814079607080733,0.7937173846311265,0.7992428118285071,1.0,0.9888954826051651,0.997551867572707,0.9973374604367623,1.0,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010,All;Diff;;MIPLIB2010
dg012142,7200.0,7200.0,7200.0,7200.0,175566.38888551499,161011.6500589626,111040.27560336562,187792.2211279935,timelimit,timelimit,timelimit,timelimit,21175214.0,18818746.0,20414523.0,19549105.0,1.0,1.0,1.0,1.0,0.9352418644717893,0.858147910390467,0.5934581146084765,1.0,All;;;,All;;;,All;;;,All;;;
disctom,1.97,1.97,1.62,1.63,200.0,200.0,160.0,160.0,ok,ok,ok,ok,1965.0,1965.0,1965.0,1965.0,1.0292347377472058,1.0292347377472058,0.9991401547721411,1.0,1.0344827586206897,1.0344827586206897,1.0,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
dolom1,7200.0,7200.0,7200.0,7200.0,549206.4443229336,549027.0696782866,571878.0844137586,548651.736125398,timelimit,timelimit,timelimit,timelimit,6659595.0,6712169.0,6586659.0,6723910.0,1.0,1.0,1.0,1.0,1.0010091993913197,1.0006828570314985,1.0422564812622765,1.0,All;;;,All;;;,All;;;,All;;;
ds,7200.0,7200.0,7200.0,7200.0,541837.4519946915,541869.9915775496,542146.6186784066,541298.8167827809,timelimit,timelimit,timelimit,timelimit,4141476.0,5211517.0,4132046.0,4160357.0,1.0,1.0,1.0,1.0,1.0009932443059826,1.001053247355687,1.001563348230511,1.0,All;;;,All;;;,All;;;,All;;;
ds-big,7200.0,7200.0,7200.0,7200.0,510983.0924275126,454460.06351725006,503225.2778413601,498602.63723273046,timelimit,timelimit,timelimit,timelimit,740577.0,556914.0,745153.0,837895.0,1.0,1.0,1.0,1.0,1.0247806041684582,0.9116446343038069,1.0092526345221757,1.0,All;;;,All;;;,All;;;,All;;;
dsbmip,1.08,1.1,1.05,1.38,43.05584371074272,43.05584371074272,43.05584371074272,82.61929460920804,ok,ok,ok,ok,2664.0,2664.0,2664.0,2664.0,0.9736379613356767,0.9753954305799649,0.9710017574692444,1.0,0.963455804736284,0.963455804736284,0.963455804736284,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
egout,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,ok,ok,ok,ok,27.0,27.0,27.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,All;;Equal;,All;;Equal;,All;;Equal;,All;;Equal;
eil33-2,113.2,116.14,112.88,112.86,634.1825069762209,665.1477848220717,649.3876357987324,610.874024587019,ok,ok,ok,ok,43666.0,43666.0,43666.0,43666.0,1.0027673775028487,1.026697053556894,1.0001627869119323,1.0,1.0144694631817515,1.0336921195615945,1.023908518371936,1.0,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010,All;;Equal;MIPLIB2010
eilA101-2,7200.0,7200.0,7200.0,7200.0,89666.86403449692,89880.00771710653,90109.98024504015,90164.3048290179,timelimit,timelimit,timelimit,timelimit,604731.0,603973.0,598979.0,583386.0,1.0,1.0,1.0,1.0,0.9945434696677176,0.9968814865374713,0.9994041024710314,1.0,All;;;,All;;;,All;;;,All;;;
