Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,665,0.0,1.0,264.0,1.0,400.0,263.0,0.0,358.60744501184746,5178.360157711894,77204.62197965092,0.981084900231514,0.9802758039946674,0.9789039246457999,0.20159204056680513,0.056817118298852116
alns_g,0.0,665,0.0,0.0,267.0,0.0,398.0,266.0,0.0,360.9016176094309,5106.936023939811,78001.49016422736,0.9873613401808844,0.9667550468387981,0.9890076901109407,0.03477633174783656,0.00011497931531662013
alns_u,0.0,665,0.0,0.0,265.0,0.0,400.0,264.0,0.0,360.1692159933176,5146.878289835516,76516.88341777226,0.9853576222534717,0.9743162120767875,0.9701838511567965,0.9906113126204447,0.0002990909876876666
no-alns,0.0,665,0.0,0.0,266.0,0.0,399.0,265.0,0.0,365.521317194082,5282.554294015875,78868.43645824194,1.0,1.0,1.0,,
