Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,110,0.0,1.0,2.0,1.0,107.0,2.0,0.0,136.3960834975848,2712.1175056753573,10281.798551445821,0.8860517439195722,0.8803879071224542,0.6508493659297702,0.03302547112689186,0.02554833171324479
alns_g,0.0,110,0.0,0.0,5.0,0.0,105.0,5.0,0.0,137.2089093995004,2645.2929251576866,12278.623646418388,0.8913319967642814,0.8586957966356564,0.7772506312757824,0.5513003093348426,0.023696690321934485
alns_u,0.0,110,0.0,0.0,3.0,0.0,107.0,3.0,0.0,137.54990849623144,2741.42326923053,10046.820913629848,0.8935471838619291,0.8899009314619137,0.6359750182351545,0.06213182911575218,0.022242297641206738
no-alns,0.0,110,0.0,0.0,4.0,0.0,106.0,4.0,0.0,153.936927988221,3080.593774328304,15797.508747293268,1.0,1.0,1.0,,
