Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,153,0.0,1.0,2.0,1.0,150.0,2.0,0.0,758.181330471489,11548.877219261827,30844.11282941254,0.9750790343378201,0.9635723900197036,0.8880147784510495,0.4261734077753526,0.017497194374994803
alns_g,0.0,153,0.0,0.0,5.0,0.0,148.0,5.0,0.0,760.4453425502248,11703.394273779102,32232.88358305593,0.9779907265976256,0.9764644110095615,0.9279980634278805,0.9733256869477527,0.2112846984332808
alns_u,0.0,153,0.0,0.0,3.0,0.0,150.0,3.0,0.0,771.417485216015,11750.07988073334,30618.717769780884,0.9921017391551655,0.9803595915555445,0.8815255613660989,0.7020975727158913,0.14045577106998597
no-alns,0.0,153,0.0,0.0,4.0,0.0,149.0,4.0,0.0,777.5588478182929,11985.479595389475,34733.78324087517,1.0,1.0,1.0,,
