Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,21,0.0,0.0,2.0,0.0,19.0,2.0,0.0,2044.4365662879613,295899.8166268542,5033.091662824971,0.8472742759222951,0.8349545836101937,0.6797362416788482,0.1771140408635976,0.10894087157711467
alns_g,0.0,21,0.0,0.0,3.0,0.0,18.0,3.0,0.0,2006.449627476907,294496.4086814719,5645.767293181158,0.8315313780469754,0.8309945206739277,0.7624801808410419,0.11654426427752808,0.20433024733906624
alns_u,0.0,21,0.0,0.0,2.0,0.0,19.0,2.0,0.0,2292.4413291210553,334224.21564287215,5160.3647131473945,0.9500546993013462,0.9430963627681134,0.6969249023845843,0.5067455281526702,0.34652171170610724
no-alns,0.0,21,0.0,0.0,2.0,0.0,19.0,2.0,0.0,2412.957202155704,354390.3134796105,7404.477434355975,1.0,1.0,1.0,,
