Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,89,0.0,1.0,0.0,1.0,88.0,0.0,0.0,71.65132036610215,837.2845733822749,11520.257480221524,0.8950655746703092,0.8851828793514417,0.6480105048817361,0.0880246077727341,0.09218926643907936
alns_g,0.0,89,0.0,0.0,2.0,0.0,87.0,2.0,0.0,72.50732795383612,810.8549205630586,13843.679639878861,0.9057587889686982,0.8572412727262694,0.7787021989968933,0.6220605742189638,0.06586876918987035
alns_u,0.0,89,0.0,0.0,1.0,0.0,88.0,1.0,0.0,70.45045786525962,822.4861744971003,11199.8049609347,0.8800644458854564,0.8695379125726386,0.62998516133623,0.07726530694399611,0.03792231739285174
no-alns,0.0,89,0.0,0.0,2.0,0.0,87.0,2.0,0.0,80.05147599659878,945.8888020922172,17777.886922256002,1.0,1.0,1.0,,
