Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.11089419009406,204.07371373420898,704.4302082965299,0.990862995615054,0.9902430981487363,1.0002034946919958,0.8324683110932586,0.8936443871266052
alns_g,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.247357683057443,201.52954131347303,709.5477338336984,1.0075339843199655,0.977897808135465,1.0074697460057056,0.0024248176651710967,0.10592770823298073
alns_u,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.211096755379321,205.88333306501818,713.0269773556258,1.0031041877302376,0.9990240578314922,1.0124098401250812,0.3229866254187437,0.537722120370485
no-alns,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.18568684670621,206.08445957939585,704.2868896528433,1.0,1.0,1.0,,
