Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,62,0.0,1.0,2.0,1.0,59.0,2.0,0.0,2811.564062142062,91832.00000044124,59421.91516555581,0.9776483487784963,0.9752558845176688,0.8627805118205861,0.5202133776633694,0.21460188629190957
alns_g,0.0,62,0.0,0.0,5.0,0.0,57.0,5.0,0.0,2812.1441325539927,95383.26440258314,62847.07884607574,0.9778500531920771,1.0129703141897914,0.9125124072856661,0.5872281657620673,0.7781771795228314
alns_u,0.0,62,0.0,0.0,3.0,0.0,59.0,3.0,0.0,2814.549286559421,92677.85999310702,58774.478701987166,0.9786863830035251,0.9842389180497862,0.85338001434667,0.1262141495490598,0.3634879469815159
no-alns,0.0,62,0.0,0.0,4.0,0.0,58.0,4.0,0.0,2875.843922464469,94161.95427096396,68872.57460204723,1.0,1.0,1.0,,
