Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,87,0.0,0.0,6.0,0.0,81.0,6.0,0.0,314.0102155214894,5992.527031317252,21610.159144453708,0.954077220660115,0.9317478762825805,0.7631804616157157,0.6573586978812125,0.052033421360799366
alns_g,0.0,87,0.0,0.0,7.0,0.0,80.0,7.0,0.0,321.02193424962945,6214.433216068549,23195.385905923522,0.9753813718804326,0.9662509524131426,0.8191640424629035,0.8441799239398146,0.27677204744647677
alns_u,0.0,87,0.0,0.0,6.0,0.0,81.0,6.0,0.0,323.57714092329894,6279.521803127144,21097.422792474586,0.9831450189241382,0.9763712493171265,0.7450727575874918,0.8741368860421352,0.23222559205012872
no-alns,0.0,87,0.0,0.0,7.0,0.0,80.0,7.0,0.0,329.1245286248731,6431.489873876395,28315.922945279843,1.0,1.0,1.0,,
