Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neos-574665,7200.0,7200.0,7200.0,7200.0,6350781.0,6414576.0,6364336.0,6449483.0,307.02689055890204,297.19428964062195,304.09847456809985,307.17951085255334,timelimit,timelimit,timelimit,timelimit,9140174.0,9238660.0,9160235.0,9289855.0,0.9846961376594062,0.9945876281866314,0.986797856510359,1.0,1.0,1.0,1.0,1.0,0.9998832445793525,0.9923612471515721,0.9976429891542256,1.0
neos-582605,7200.0,7200.0,7200.0,7200.0,1211842.0,1210614.0,1209102.0,1192644.0,1200.0,1200.0,1200.0,1220.0,timelimit,timelimit,timelimit,timelimit,53562330.0,53513329.0,53449225.0,52743323.0,1.0160970079923264,1.0150673629347902,1.0137995914958697,1.0,1.0,1.0,1.0,1.0,0.990990990990991,0.990990990990991,0.990990990990991,1.0
neos-584146,7200.0,7200.0,7200.0,7200.0,1806129.0,1800573.0,1799345.0,1767973.0,0.0,0.0,0.0,0.0,timelimit,timelimit,timelimit,timelimit,83484112.0,83222804.0,83167876.0,81660638.0,1.0215817775497702,1.0184391956212,1.0177446148781684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neos-584866,7200.0,7200.0,7200.0,7200.0,205475.0,203821.0,204680.0,206535.0,27892.41379310345,27927.93103448276,27892.41379310345,27885.63218390805,timelimit,timelimit,timelimit,timelimit,13000830.0,12925906.0,12965548.0,13056754.0,0.9948676979688673,0.9868593700825526,0.9910184714455177,1.0,1.0,1.0,1.0,1.0,1.0002347744772289,1.0014643560613596,1.0002347744772289,1.0
neos-611135,7200.0,7200.0,7200.0,7200.0,173331.0,184731.0,154674.0,213729.0,33922.570541698056,16641.751298353323,51451.61567818524,25574.675154913704,timelimit,timelimit,timelimit,timelimit,5394826.0,4882134.0,4930423.0,4919000.0,0.8109849388711874,0.8643235124854372,0.7236921522114453,1.0,1.0,1.0,1.0,1.0,1.3141297245637569,0.6638557647652499,1.9737443777741472,1.0
neos-631164,7200.0,7200.0,7200.0,7200.0,922433.0,924310.0,924364.0,922930.0,9186.159451647398,9184.262865835713,9183.983233556943,9186.486542612554,timelimit,timelimit,timelimit,timelimit,73711663.0,73858061.0,73861568.0,73749712.0,0.9994614976217048,1.001495237992047,1.0015537473047793,1.0,1.0,1.0,1.0,1.0,0.9999678897170493,0.9997817032626962,0.9997542519645867,1.0
neos-631517,7200.0,7200.0,7200.0,7200.0,915350.0,915946.0,918807.0,916302.0,2951.371189624524,2954.256421888158,2952.6284080730875,2953.7695398585056,timelimit,timelimit,timelimit,timelimit,80337809.0,80391427.0,80655765.0,80424424.0,0.9989610412287652,0.999611481804034,1.002733814833974,1.0,1.0,1.0,1.0,1.0,0.9993934016108417,1.0001231437555336,0.9997113813099336,1.0
neos-631694,7200.0,7200.0,7200.0,7200.0,535635.0,536827.0,534341.0,535459.0,2100.0,2160.0,2160.0,2150.0,timelimit,timelimit,timelimit,timelimit,15716198.0,15749170.0,15680533.0,15711221.0,1.000328689965058,1.0025548174556782,0.9979120716992338,1.0,1.0,1.0,1.0,1.0,0.9841269841269841,1.0031746031746032,1.0031746031746032,1.0
neos-631709,7200.0,7200.0,7200.0,7200.0,55067.0,40732.0,40803.0,40285.0,4431.366185216653,4908.442237690287,4880.657258226323,4931.650996229407,timelimit,timelimit,timelimit,timelimit,5961086.0,6537880.0,6554575.0,6454313.0,1.3669355839642547,1.011095941417401,1.012858384013901,1.0,1.0,1.0,1.0,1.0,0.9156584210145251,0.9960873020759526,0.9914031122135306,1.0
neos-631710,7200.0,7200.0,7200.0,7200.0,340.0,325.0,316.0,327.0,50634.16937253181,50493.83512505485,50730.03444493199,50562.8675954366,timelimit,timelimit,timelimit,timelimit,790505.0,775077.0,760803.0,776399.0,1.039755351681957,0.9938837920489296,0.9663608562691132,1.0,1.0,1.0,1.0,1.0,1.0013828124854236,0.9986611979976875,1.003242000635166,1.0
