Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,9,0.0,1.0,2.0,1.0,6.0,2.0,0.0,4456.40512535812,74474.70733130441,83444.34961671897,0.8566799245320694,0.8440157736913065,0.5777384710993831,,
alns_g,0.0,9,0.0,0.0,5.0,0.0,4.0,5.0,0.0,4900.478112226134,102515.39117230527,106981.14538147912,0.9420465826736469,1.161798552771093,0.7406987249951896,,
alns_u,0.0,9,0.0,0.0,3.0,0.0,6.0,3.0,0.0,5482.8984285390725,93848.09008604955,80263.34502952134,1.0540085292627863,1.0635727376686719,0.5557143468152451,,
no-alns,0.0,9,0.0,0.0,4.0,0.0,5.0,4.0,0.0,5201.94882329275,88238.5254550267,144432.73867141313,1.0,1.0,1.0,,
