Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,35.05094258987566,837.8110735705047,12888.249020698804,1.001947255886702,1.0,1.0023434846275288,0.8358410352255836,
alns_g,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,35.493828119316916,837.8110735705047,12876.26879653241,1.0146073416963135,1.0,1.001411759951952,0.00042796493668276724,
alns_u,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,35.29014762564838,837.8110735705047,12870.495540847838,1.0087850414490218,1.0,1.0009627629461348,0.02131415192766876,
no-alns,0.0,293,0.0,0.0,0.0,0.0,293.0,0.0,0.0,34.982822083639846,837.8110735705047,12858.116222991246,1.0,1.0,1.0,,
