Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,267,0.0,1.0,2.0,1.0,264.0,2.0,0.0,210.76192511742414,3579.6722838831865,18307.055534530286,0.9798534786233998,0.9766932411092036,0.8910551044957699,0.9981877855630036,0.08448815095788433
alns_g,0.0,267,0.0,0.0,5.0,0.0,262.0,5.0,0.0,212.63837638292543,3570.960575612988,19114.974599262274,0.9885772900943015,0.9743163010121098,0.9303787633600273,0.06308830450816805,0.09454874164886314
alns_u,0.0,267,0.0,0.0,3.0,0.0,264.0,3.0,0.0,212.68825134787522,3615.9850893832386,18190.749186904734,0.9888091638441501,0.9866009837417612,0.8853941523813497,0.8218518359858447,0.11846869357593375
no-alns,0.0,267,0.0,0.0,4.0,0.0,263.0,4.0,0.0,215.09534814687237,3665.093739993379,20545.368566055047,1.0,1.0,1.0,,
