Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,45.919165719586786,1053.0634049014552,10548.872226328223,0.9712036423308651,0.9671935207792283,0.9883470421107851,0.321322141691193,0.05594374563106582
alns_g,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,46.322402162625934,1037.026711138916,10559.809771717531,0.9797322097833245,0.9524645061447294,0.9893718047964583,0.02569354015606475,0.015331056516306852
alns_u,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,46.0374887688863,1050.321372790585,10542.72941294926,0.9737062090620016,0.9646750820232537,0.9877715084136204,0.90707273583657,0.013878095095503609
no-alns,0.0,394,0.0,0.0,0.0,0.0,394.0,0.0,0.0,47.2806770054753,1088.782526223961,10673.247125624308,1.0,1.0,1.0,,
