Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.913631924231,48511.27829409024,177895.7808917397,0.999999680717207,1.0020953353469304,0.9891661767832799,,0.33853025209790877
alns_g,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.914436984135,47331.15895947141,179097.96015601984,0.9999997925323882,0.9777176623199486,0.9958507370392636,,0.0007209007123380679
alns_u,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.909835157049,47567.233566555195,176262.16466992666,0.9999991533822745,0.9825942450625919,0.9800826678638337,,0.006086341661560326
no-alns,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.9159307334985,48409.84343799524,179844.1809547594,1.0,1.0,1.0,,
