Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,166,0.0,0.0,24.0,0.0,142.0,24.0,0.0,106.9806068032249,3170.5947857144606,32637.952215839625,0.9692217150288109,0.9521423016207375,0.8246064883466565,0.21300540208296648,0.030460599218400365
alns_g,0.0,166,0.0,0.0,25.0,0.0,141.0,25.0,0.0,110.41870016652307,3247.6590686500044,35256.36932774081,1.0003701151508466,0.9752850141671678,0.8907614886785633,0.042900662457171584,0.2703806522598501
alns_u,0.0,166,0.0,0.0,23.0,0.0,143.0,23.0,0.0,109.83881470818552,3257.263861646077,32643.33279522944,0.9951164753067208,0.9781693719384845,0.8247424301069287,0.5768430621023575,0.1721559959500647
no-alns,0.0,166,0.0,0.0,25.0,0.0,141.0,25.0,0.0,110.37784765278893,3329.958957098609,39580.03323655507,1.0,1.0,1.0,,
