Group,Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
"[10,7200]",alns_u,0.0,267,0.0,0.0,3.0,0.0,264.0,3.0,0.0,212.68825134787522,3615.9850893832386,18190.749186904734,0.9888091638441501,0.9866009837417612,0.8853941523813497,0.8218518359858447,0.11846869357593375
"[10,7200]",no-alns,0.0,267,0.0,0.0,4.0,0.0,263.0,4.0,0.0,215.09534814687237,3665.093739993379,20545.368566055047,1.0,1.0,1.0,,
"[100,7200]",alns_e,0.0,153,0.0,1.0,2.0,1.0,150.0,2.0,0.0,758.181330471489,11548.877219261827,30844.11282941254,0.9750790343378201,0.9635723900197036,0.8880147784510495,0.4261734077753526,0.017497194374994803
"[100,7200]",alns_g,0.0,153,0.0,0.0,5.0,0.0,148.0,5.0,0.0,760.4453425502248,11703.394273779102,32232.88358305593,0.9779907265976256,0.9764644110095615,0.9279980634278805,0.9733256869477527,0.2112846984332808
"[100,7200]",alns_u,0.0,153,0.0,0.0,3.0,0.0,150.0,3.0,0.0,771.417485216015,11750.07988073334,30618.717769780884,0.9921017391551655,0.9803595915555445,0.8815255613660989,0.7020975727158913,0.14045577106998597
"[100,7200]",no-alns,0.0,153,0.0,0.0,4.0,0.0,149.0,4.0,0.0,777.5588478182929,11985.479595389475,34733.78324087517,1.0,1.0,1.0,,
"[1000,7200]",alns_e,0.0,62,0.0,1.0,2.0,1.0,59.0,2.0,0.0,2811.564062142062,91832.00000044124,59421.91516555581,0.9776483487784963,0.9752558845176688,0.8627805118205861,0.5202133776633694,0.21460188629190957
"[1000,7200]",alns_g,0.0,62,0.0,0.0,5.0,0.0,57.0,5.0,0.0,2812.1441325539927,95383.26440258314,62847.07884607574,0.9778500531920771,1.0129703141897914,0.9125124072856661,0.5872281657620673,0.7781771795228314
"[1000,7200]",alns_u,0.0,62,0.0,0.0,3.0,0.0,59.0,3.0,0.0,2814.549286559421,92677.85999310702,58774.478701987166,0.9786863830035251,0.9842389180497862,0.85338001434667,0.1262141495490598,0.3634879469815159
"[1000,7200]",no-alns,0.0,62,0.0,0.0,4.0,0.0,58.0,4.0,0.0,2875.843922464469,94161.95427096396,68872.57460204723,1.0,1.0,1.0,,
timeouts,alns_e,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.913631924231,48511.27829409024,177895.7808917397,0.999999680717207,1.0020953353469304,0.9891661767832799,,0.33853025209790877
timeouts,alns_g,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.914436984135,47331.15895947141,179097.96015601984,0.9999997925323882,0.9777176623199486,0.9958507370392636,,0.0007209007123380679
timeouts,alns_u,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.909835157049,47567.233566555195,176262.16466992666,0.9999991533822745,0.9825942450625919,0.9800826678638337,,0.006086341661560326
timeouts,no-alns,0.0,261,0.0,0.0,261.0,0.0,0.0,261.0,0.0,7199.9159307334985,48409.84343799524,179844.1809547594,1.0,1.0,1.0,,
easyinstances,alns_e,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.11089419009406,204.07371373420898,704.4302082965299,0.990862995615054,0.9902430981487363,1.0002034946919958,0.8324683110932586,0.8936443871266052
easyinstances,alns_g,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.247357683057443,201.52954131347303,709.5477338336984,1.0075339843199655,0.977897808135465,1.0074697460057056,0.0024248176651710967,0.10592770823298073
easyinstances,alns_u,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.211096755379321,205.88333306501818,713.0269773556258,1.0031041877302376,0.9990240578314922,1.0124098401250812,0.3229866254187437,0.537722120370485
easyinstances,no-alns,0.0,239,0.0,0.0,1.0,0.0,238.0,0.0,0.0,8.18568684670621,206.08445957939585,704.2868896528433,1.0,1.0,1.0,,
mmm,alns_e,0.0,166,0.0,0.0,24.0,0.0,142.0,24.0,0.0,106.9806068032249,3170.5947857144606,32637.952215839625,0.9692217150288109,0.9521423016207375,0.8246064883466565,0.21300540208296648,0.030460599218400365
mmm,alns_g,0.0,166,0.0,0.0,25.0,0.0,141.0,25.0,0.0,110.41870016652307,3247.6590686500044,35256.36932774081,1.0003701151508466,0.9752850141671678,0.8907614886785633,0.042900662457171584,0.2703806522598501
mmm,alns_u,0.0,166,0.0,0.0,23.0,0.0,143.0,23.0,0.0,109.83881470818552,3257.263861646077,32643.33279522944,0.9951164753067208,0.9781693719384845,0.8247424301069287,0.5768430621023575,0.1721559959500647
mmm,no-alns,0.0,166,0.0,0.0,25.0,0.0,141.0,25.0,0.0,110.37784765278893,3329.958957098609,39580.03323655507,1.0,1.0,1.0,,
coral,alns_e,0.0,336,0.0,1.0,103.0,1.0,232.0,103.0,0.0,191.74902853482183,4206.286569775784,29250.047206717754,0.9753455404324417,0.9857266863397657,0.9677827564174489,0.8326176977700146,0.9023268398305496
coral,alns_g,0.0,336,0.0,0.0,106.0,0.0,230.0,106.0,0.0,192.28905823924515,4119.568149109784,30087.298378587002,0.9780924412534525,0.9654045660967145,0.9954844979291436,0.06610661015300567,0.10900810582116979
