Settings,_abort_,_count_,_dualfail_,_fail_,_limit_,_primfail_,_solved_,_time_,_unkn_,Time_shmean(1.0),Nodes_shmean(100.0),PInt_avg,Time_shmean(1.0)Q,Nodes_shmean(100.0)Q,PInt_avgQ,Time_shmean(1.0)p,Nodes_shmean(100.0)p
alns_e,0.0,336,0.0,1.0,103.0,1.0,232.0,103.0,0.0,191.74902853482183,4206.286569775784,29250.047206717754,0.9753455404324417,0.9857266863397657,0.9677827564174489,0.8326176977700146,0.9023268398305496
alns_g,0.0,336,0.0,0.0,106.0,0.0,230.0,106.0,0.0,192.28905823924515,4119.568149109784,30087.298378587002,0.9780924412534525,0.9654045660967145,0.9954844979291436,0.06610661015300567,0.10900810582116979
alns_u,0.0,336,0.0,0.0,104.0,0.0,232.0,104.0,0.0,191.81413313200355,4158.843345604843,29394.395259937206,0.9756766997556886,0.9746085536648944,0.972558733558304,0.8668919742489668,0.14809879051408906
no-alns,0.0,336,0.0,0.0,104.0,0.0,232.0,104.0,0.0,196.59599658373946,4267.193561934204,30223.773892186266,1.0,1.0,1.0,,
